timestamp,action,item,amount,context
48.061,add,ember_salt,1,
55.013,add,spirit_thread,1,
48.057,add,ember_salt,1,
96.057,add,ember_salt,1,
144.057,add,ember_salt,1,
192.060,add,ember_salt,1,
240.074,add,ember_salt,1,
288.074,add,ember_salt,1,
336.078,add,ember_salt,1,
384.090,add,ember_salt,1,
432.091,add,ember_salt,1,
480.092,add,ember_salt,1,
528.107,add,ember_salt,1,
576.124,add,ember_salt,1,
624.141,add,ember_salt,1,
55.072,add,spirit_thread,1,
110.069,add,spirit_thread,1,
165.081,add,spirit_thread,1,
220.095,add,spirit_thread,1,
275.100,add,spirit_thread,1,
330.117,add,spirit_thread,1,
385.124,add,spirit_thread,1,
440.147,add,spirit_thread,1,
495.164,add,spirit_thread,1,
550.185,add,spirit_thread,1,
605.191,add,spirit_thread,1,
660.203,add,spirit_thread,1,
715.208,add,spirit_thread,1,
770.217,add,spirit_thread,1,
825.222,add,spirit_thread,1,
880.239,add,spirit_thread,1,
935.264,add,spirit_thread,1,
990.280,add,spirit_thread,1,
1045.285,add,spirit_thread,1,
1100.315,add,spirit_thread,1,
1155.321,add,spirit_thread,1,
1210.323,add,spirit_thread,1,
1265.323,add,spirit_thread,1,
1320.349,add,spirit_thread,1,
1375.298,add,spirit_thread,1,
1430.301,add,spirit_thread,1,
1485.323,add,spirit_thread,1,
1540.347,add,spirit_thread,1,
1595.362,add,spirit_thread,1,
1650.376,add,spirit_thread,1,
1705.377,add,spirit_thread,1,
1760.394,add,spirit_thread,1,
1815.407,add,spirit_thread,1,
1870.434,add,spirit_thread,1,
1925.437,add,spirit_thread,1,
1980.451,add,spirit_thread,1,
2035.475,add,spirit_thread,1,
2090.496,add,spirit_thread,1,
2145.515,add,spirit_thread,1,
2200.528,add,spirit_thread,1,
2255.529,add,spirit_thread,1,
2310.559,add,spirit_thread,1,
2365.566,add,spirit_thread,1,
2420.588,add,spirit_thread,1,
2475.617,add,spirit_thread,1,
2530.631,add,spirit_thread,1,
2585.654,add,spirit_thread,1,
2640.658,add,spirit_thread,1,
2695.668,add,spirit_thread,1,
2750.676,add,spirit_thread,1,
2805.705,add,spirit_thread,1,
2860.717,add,spirit_thread,1,
2915.738,add,spirit_thread,1,
2970.744,add,spirit_thread,1,
3025.756,add,spirit_thread,1,
3080.762,add,spirit_thread,1,
3135.779,add,spirit_thread,1,
3190.804,add,spirit_thread,1,
3245.833,add,spirit_thread,1,
3300.857,add,spirit_thread,1,
3355.864,add,spirit_thread,1,
3410.873,add,spirit_thread,1,
3465.892,add,spirit_thread,1,
3520.916,add,spirit_thread,1,
3575.942,add,spirit_thread,1,
3630.943,add,spirit_thread,1,
3685.959,add,spirit_thread,1,
3740.960,add,spirit_thread,1,
3795.981,add,spirit_thread,1,
3851.004,add,spirit_thread,1,
3906.015,add,spirit_thread,1,
3961.022,add,spirit_thread,1,
4016.046,add,spirit_thread,1,
4071.071,add,spirit_thread,1,
4126.098,add,spirit_thread,1,
4181.119,add,spirit_thread,1,
4236.136,add,spirit_thread,1,
4291.158,add,spirit_thread,1,
4346.183,add,spirit_thread,1,
4401.193,add,spirit_thread,1,
4456.203,add,spirit_thread,1,
4511.227,add,spirit_thread,1,
4566.254,add,spirit_thread,1,
4621.263,add,spirit_thread,1,
4676.286,add,spirit_thread,1,
4731.294,add,spirit_thread,1,
4786.319,add,spirit_thread,1,
4841.321,add,spirit_thread,1,
4896.323,add,spirit_thread,1,
4951.354,add,spirit_thread,1,
5006.362,add,spirit_thread,1,
5061.367,add,spirit_thread,1,
5116.383,add,spirit_thread,1,
5171.408,add,spirit_thread,1,
5226.433,add,spirit_thread,1,
5281.456,add,spirit_thread,1,
5336.461,add,spirit_thread,1,
5391.463,add,spirit_thread,1,
